0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23
Cancer,Colorrectal,3.48,3.93,3.83,4.42,4.33,4.50,4.75,4.40,3.73,3.21,2.96,3.08,2.86,2.73,2.28,3.11,3.22,3.69,2.29,2.76,2.69,1.49
Cancer,Endometrial,0.90,1.00,0.88,0.92,0.83,0.67,0.88,0.83,0.80,0.77,0.92,0.86,0.83,1.00,0.94,0.81,0.78,0.75,0.88,0.74,0.85,0.98
Cancer,Leukemia,0.90,0.53,0.75,0.42,1.25,0.67,1.13,1.57,2.40,2.42,1.14,1.70,1.00,1.45,1.64,2.08,2.65,2.50,2.59,2.88,2.54,1.62
Cancer,Liver,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.01,0.00,0.06,0.00,0.00,0.00,0.09,0.02,0.13,0.06,0.04,0.00,0.00
Cancer,Lung,0.94,0.73,0.71,0.50,0.92,0.50,1.13,0.97,1.71,1.41,0.94,1.00,0.86,1.36,0.50,1.47,1.94,1.88,1.59,1.18,1.15,1.00
Cancer,Neuroblastoma,1.74,2.13,2.67,2.04,2.33,2.67,2.63,1.27,0.72,0.96,1.16,0.78,1.10,1.91,0.94,0.19,0.65,0.31,1.24,1.96,1.62,2.40
Cancer,Non-Hodgkin Lymphoma,0.10,0.00,0.00,0.04,0.00,0.00,0.00,0.23,0.29,0.16,0.28,0.30,0.62,0.36,0.14,0.19,0.24,0.06,0.12,0.08,0.00,0.00
Cancer,Ovarian,0.00,0.07,0.00,0.00,0.00,0.00,-0.13,0.00,0.09,0.04,0.02,0.14,0.03,-0.09,0.06,0.23,0.18,-0.19,-0.06,0.28,0.15,0.42
Cancer,Pancreatic,0.94,1.13,1.08,1.21,1.17,1.00,1.13,1.20,0.88,0.74,0.77,0.78,0.83,0.82,0.83,0.92,0.96,0.81,0.59,0.70,0.92,1.24
Cancer,Prostate,5.84,6.00,5.38,5.88,5.75,5.33,5.25,6.20,5.34,4.94,3.32,4.18,3.10,3.64,4.72,4.75,5.33,5.63,3.65,3.38,4.08,3.98
Cancer,Skin,1.94,1.87,1.71,1.38,1.42,1.00,1.50,1.93,2.26,1.93,1.74,2.16,2.03,1.73,1.72,2.23,2.49,2.31,2.65,2.38,2.46,2.47
Cancer,Stomach,1.35,1.40,1.50,0.46,0.83,0.67,0.25,0.97,1.21,0.85,1.06,0.86,1.34,1.64,1.33,1.06,1.24,1.19,1.24,1.56,1.85,2.13
Cancer,Testicular,1.29,0.80,0.79,1.33,1.42,1.17,1.38,1.40,1.74,1.68,1.43,1.56,1.28,1.36,1.56,1.57,1.78,1.69,1.82,1.76,1.77,1.91
Cancer,Thyroid,1.23,1.07,1.04,1.21,1.25,1.50,1.13,1.20,1.37,1.50,1.13,1.26,1.07,1.00,1.72,1.57,1.18,1.44,1.59,1.58,1.38,1.22
Cardiovascular,Abdominal Aortic Aneurysm,0.03,0.07,0.04,0.00,0.00,0.00,0.00,0.00,0.08,0.17,0.14,0.28,0.10,0.09,0.25,0.28,0.12,0.13,0.18,0.44,0.46,0.44
Cardiovascular,All traits/diseases,12.10,11.87,11.75,12.42,12.50,11.17,10.75,11.83,12.04,11.68,12.21,11.84,12.69,14.27,11.67,12.04,11.78,11.81,12.59,11.90,11.92,11.47
Cardiovascular,Atrial Fibrillation,0.84,0.80,0.75,1.08,1.00,0.33,0.25,0.37,0.67,0.67,1.46,1.26,1.48,1.27,1.17,0.74,0.53,0.94,0.65,1.38,0.92,1.36
Cardiovascular,Cardiovascular disease,3.48,3.27,3.38,4.00,4.00,3.00,3.00,3.67,3.27,3.62,3.82,3.82,3.83,4.00,3.64,3.68,3.20,3.13,3.82,4.32,4.00,4.04
Cardiovascular,Intracranial Aneurysm,2.19,1.87,2.38,2.08,1.67,2.17,2.13,2.03,1.72,2.12,2.60,2.16,2.48,2.64,2.17,1.83,1.88,1.88,2.18,2.16,2.15,2.40
Cardiovascular,Myocardial infarction,5.94,6.20,5.96,5.96,6.33,6.33,5.88,6.30,6.23,5.23,4.94,4.94,5.52,6.82,5.19,5.53,5.94,5.69,5.94,4.34,5.15,4.02
Cardiovascular,Peripheral Arterial Disease,-0.39,-0.33,-0.75,-0.71,-0.50,-0.67,-0.50,-0.63,-0.03,-0.14,-0.76,-0.62,-0.72,-0.55,-0.75,-0.08,0.10,0.06,-0.18,-0.74,-0.77,-0.80
Cardiovascular,Venous Thromboembolism,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.10,0.10,0.00,0.00,0.00,0.00,0.00,0.00,0.06,0.00,0.00,0.00,0.00,0.00,0.00
Female,All traits/diseases,-1.65,-1.80,-1.38,-1.38,-0.83,1.17,-1.25,-0.53,-0.15,-0.20,-1.39,-0.36,-2.03,-1.00,-2.17,0.06,0.33,0.63,-0.18,0.82,0.92,0.38
Female,Endometriosis,-1.48,-1.87,-1.58,-1.50,-1.42,-1.50,-1.88,-1.13,-0.66,-0.81,-1.14,-0.80,-1.14,-1.09,-1.08,-0.74,-0.45,-0.44,-0.76,-0.88,-0.38,-0.98
Female,Gestational Diabetes,0.58,0.67,0.63,0.54,0.42,0.50,0.63,0.70,0.59,0.54,0.14,0.24,0.17,0.36,0.11,0.42,0.49,0.69,0.24,0.32,0.31,0.00
Female,Neural Tube Defects,0.00,0.00,0.04,0.00,0.17,0.17,0.13,0.03,0.11,0.04,0.15,0.06,0.07,0.09,0.00,0.09,0.18,0.25,0.06,0.26,0.08,0.07
Female,Polycystic Ovary Syndrome,-0.32,-0.13,0.00,-0.33,0.33,0.33,0.13,-0.03,0.17,-0.10,-0.17,-0.14,-0.69,-0.18,-0.33,0.26,0.06,0.00,-0.06,0.34,-0.23,0.20
Female,Pre-eclampsia,0.16,0.20,0.29,0.67,0.17,1.67,0.00,0.60,0.41,0.60,0.22,0.52,0.14,0.18,0.22,0.68,0.59,0.69,0.47,0.32,0.62,0.31
Female,Uterine Fibroids,-0.58,-0.67,-0.75,-0.75,-0.50,0.00,-0.25,-0.70,-0.77,-0.47,-0.60,-0.24,-0.59,-0.36,-1.08,-0.66,-0.55,-0.56,-0.12,0.46,0.54,0.78
Gastrointestinal,Acid reflux disease,0.39,0.80,1.13,1.00,0.50,0.00,0.38,0.20,0.14,0.20,0.08,0.12,0.00,0.27,0.00,0.06,0.06,0.00,0.00,0.00,0.23,0.00
Gastrointestinal,All traits/diseases,-0.32,0.13,0.38,0.38,-0.25,-0.67,-0.38,-0.43,-0.33,-0.21,-0.34,-0.40,-0.34,0.09,-0.53,-0.30,-0.45,-0.19,-0.41,-0.36,-0.31,-0.04
Gastrointestinal,Kidney Disease,-0.71,-0.67,-0.75,-0.63,-0.75,-0.67,-0.75,-0.63,-0.48,-0.41,-0.42,-0.52,-0.34,-0.18,-0.53,-0.36,-0.51,-0.19,-0.41,-0.36,-0.54,-0.04
Genetic ,All traits/diseases,-3.00,-3.00,-3.00,-3.00,-3.00,-3.00,-3.00,-3.00,-3.00,-2.98,-3.00,-2.76,-3.00,-3.00,-3.00,-2.62,-2.92,-2.50,-2.76,-2.84,-3.00,-3.00
Genetic ,Haemochromatosis,-3.00,-3.00,-3.00,-3.00,-3.00,-3.00,-3.00,-3.00,-3.00,-2.98,-3.00,-2.76,-3.00,-3.00,-3.00,-2.62,-2.92,-2.50,-2.76,-2.84,-3.00,-3.00
Neurodegenerative,All traits/diseases,7.29,6.80,7.54,7.92,7.92,7.33,7.00,7.80,7.40,7.58,6.89,7.14,6.34,6.45,5.56,6.57,6.98,7.38,6.82,8.12,7.69,6.58
Neurodegenerative,Alzheimer's Disease,4.52,4.33,4.13,4.96,4.42,4.50,4.13,4.57,4.59,4.23,3.69,3.98,3.28,3.27,3.31,3.79,4.73,4.94,4.35,4.84,4.62,4.04
Neurodegenerative,Amyotrophic Lateral Sclerosis (ALS),2.65,2.40,2.96,2.54,2.92,2.67,3.13,2.60,2.37,2.39,1.90,2.08,1.76,2.27,1.33,2.04,1.94,1.81,1.94,1.92,1.77,1.40
Neurodegenerative,Creutzfeldt-Jakob Disease,0.00,0.00,0.13,0.00,0.00,0.00,0.00,0.20,0.02,0.02,0.00,0.00,0.00,0.00,0.00,0.06,0.00,0.00,0.00,0.00,0.00,0.00
Neurodegenerative,Parkinson's Disease,0.10,-0.07,0.04,0.13,0.25,-0.17,-0.50,0.20,0.32,0.77,0.89,0.80,0.97,0.64,0.78,0.57,0.29,0.50,0.35,1.00,1.00,0.93
Neurodegenerative,Progressive Supranuclear Palsy,0.03,0.13,0.29,0.29,0.33,0.33,0.25,0.23,0.10,0.17,0.41,0.28,0.34,0.27,0.14,0.11,0.02,0.13,0.18,0.36,0.31,0.20
Neurophysiological,ADHD,2.58,2.93,2.83,2.63,2.17,1.67,2.00,2.13,2.49,2.36,2.44,2.08,2.14,2.36,2.50,2.58,2.27,1.88,1.82,2.42,2.00,1.82
Neurophysiological,All traits/diseases,8.35,7.73,8.42,8.04,7.67,8.83,7.88,8.60,8.97,8.26,6.38,7.48,5.97,7.27,6.61,8.26,9.10,9.44,7.88,7.60,6.92,6.87
Neurophysiological,Autism,1.26,0.93,0.46,0.75,0.67,0.83,1.13,0.97,0.88,0.96,0.88,0.96,0.76,1.27,0.67,1.06,1.24,1.63,0.76,0.50,0.23,0.60
Neurophysiological,Bipolar disorder,1.16,1.40,1.71,1.38,1.67,1.50,1.75,1.27,1.16,0.96,-0.32,0.50,-0.45,-0.36,-0.28,0.74,1.55,1.75,1.41,0.52,0.85,0.53
Neurophysiological,Depression,1.42,1.07,1.33,1.29,1.83,2.00,1.75,1.77,1.81,1.62,1.31,1.58,1.38,1.64,1.14,1.43,1.65,1.50,1.71,1.50,1.62,2.13
Neurophysiological,Dyslexia,0.29,0.13,0.42,0.50,0.33,0.50,0.50,0.40,0.51,0.44,0.66,0.62,0.59,0.64,0.92,0.55,0.37,0.56,0.35,0.72,0.62,0.51
Neurophysiological,Obsessive-Compulsive Disorder,0.23,0.00,0.33,0.17,0.17,0.67,-0.25,0.93,0.72,0.79,0.00,0.26,0.38,0.18,0.28,0.66,0.86,0.94,0.41,0.48,0.23,-0.20
Neurophysiological,Schizophrenia,0.84,0.60,0.96,0.79,0.25,1.17,0.63,0.53,0.68,0.44,0.51,0.68,0.34,0.55,0.72,0.58,0.45,0.56,0.76,0.64,0.69,0.87
Neurophysiological,Social Phobia,0.58,0.67,0.38,0.54,0.58,0.50,0.38,0.60,0.72,0.70,0.91,0.80,0.83,1.00,0.67,0.66,0.71,0.63,0.65,0.82,0.69,0.60
Neurophysiological Trait,All traits/diseases,17.90,19.00,16.58,18.17,15.33,18.50,16.00,16.77,16.26,15.44,12.58,13.96,12.76,12.73,13.03,14.68,15.78,17.13,14.94,11.42,12.54,12.38
Neurophysiological Trait,Handedness,0.10,0.13,0.29,0.17,0.58,0.00,0.00,0.33,0.14,0.23,0.43,0.44,0.55,0.55,0.22,0.32,0.18,0.31,0.35,0.56,0.46,0.33
Neurophysiological Trait,Hyperactivity,1.74,2.20,1.38,1.38,1.00,1.50,1.50,1.30,0.81,0.88,1.63,1.14,1.45,1.64,1.25,0.85,0.86,0.56,1.59,0.90,1.15,2.33
Neurophysiological Trait,Intelligence,13.23,13.93,12.08,13.67,10.58,13.83,11.00,12.27,12.04,11.10,7.81,9.48,8.28,8.00,8.75,10.38,11.53,12.69,10.06,6.86,8.08,7.20
Neurophysiological Trait,Memory,0.42,0.27,0.54,0.54,0.67,0.50,0.50,0.57,0.73,0.71,0.46,0.62,0.52,0.45,0.58,0.72,0.71,0.81,0.47,0.70,0.62,0.22
Neurophysiological Trait,Pair-bonding (+ sociability),2.42,2.47,2.29,2.42,2.50,2.67,3.00,2.30,2.54,2.52,2.26,2.28,1.97,2.09,2.22,2.42,2.49,2.75,2.47,2.40,2.23,2.29
Other,Age-related Macular Degeneration,1.55,1.80,1.88,1.79,1.75,2.33,1.63,1.73,1.06,1.62,2.06,1.80,2.45,1.55,0.92,1.25,0.98,1.69,1.59,1.96,1.54,2.09
Other,All traits/diseases,3.48,1.93,2.79,3.29,4.50,4.00,3.50,3.57,4.32,4.75,4.54,4.68,4.69,3.36,4.36,4.77,4.47,5.06,4.24,4.62,4.23,3.69
Other,Glaucoma,1.74,0.60,0.88,0.63,1.50,1.50,0.75,1.50,2.28,1.84,0.70,1.56,0.41,1.36,1.58,2.15,2.20,2.25,2.12,1.98,2.54,2.33
Other,Gout,-0.16,-0.73,-0.46,0.29,0.58,0.17,0.38,-0.27,0.42,0.60,0.97,0.56,0.83,0.18,1.03,0.79,0.71,0.56,-0.29,-0.04,-0.23,-1.29
Other,Osteoarthritis,0.10,0.20,0.17,0.17,0.25,-0.17,0.25,0.00,0.07,0.12,0.02,0.02,0.03,0.00,0.00,0.08,0.00,0.06,0.00,0.00,0.00,0.00
Other,Osteoporosis,0.26,0.07,0.33,0.42,0.42,0.17,0.50,0.60,0.50,0.56,0.81,0.74,0.97,0.27,0.83,0.51,0.57,0.50,0.82,0.72,0.38,0.56
